,location,total_sqft,bath,price,bhk,encoded_loc
2124,others,1051.0,2,33.0,2,230
2125,Marathahalli,1102.0,2,53.67,2,161
2126,Hebbal,823.0,2,50.63,2,92
2127,Abbigere,880.0,2,35.0,2,10
2128,Budigere,1991.0,4,100.0,3,52
2129,TC Palaya,1100.0,3,50.0,3,207
2130,Gubbalala,1745.0,3,115.0,3,84
2131,others,1100.0,2,70.0,2,230
2132,5th Phase JP Nagar,1450.0,2,58.0,2,4
2133,Singasandra,3366.0,4,120.0,4,201
2134,Sahakara Nagar,1150.0,2,54.0,2,190
2135,Bommanahalli,1090.0,3,44.0,2,47
2136,Kaggadasapura,1132.0,2,42.0,2,118
2137,Hulimavu,1375.0,2,80.0,2,105
2138,Thanisandra,760.0,1,50.3,1,209
2139,Kaggadasapura,1180.0,2,65.0,2,118
2140,Jigani,918.0,2,45.0,2,113
2141,Margondanahalli,1200.0,1,53.0,2,162
2142,Ardendale,1728.0,3,95.0,3,19
2143,BTM 2nd Stage,1200.0,2,80.0,2,22
2144,6th Phase JP Nagar,1280.0,2,56.0,2,5
2145,others,1455.0,2,56.0,3,230
2146,Rachenahalli,440.0,1,28.0,1,183
2147,Kanakpura Road,1500.0,3,97.0,3,127
2148,Whitefield,1800.0,3,110.0,3,224
2149,Mysore Road,1525.0,3,96.0,3,166
2150,Rachenahalli,1204.0,2,38.5,2,183
2151,Old Madras Road,1225.0,2,53.55,2,177
2152,Bannerghatta Road,1650.0,3,122.0,3,34
2153,others,4200.0,4,255.0,4,230
2154,others,1200.0,2,55.0,2,230
2155,9th Phase JP Nagar,1005.0,2,42.0,2,8
2156,Whitefield,1562.0,3,103.0,3,224
2157,Devanahalli,5000.0,5,395.0,4,65
2158,Ramamurthy Nagar,1200.0,2,42.0,2,188
2159,Kasavanhalli,1555.0,3,82.5,3,130
2160,KR Puram,1550.0,2,71.0,2,115
2161,Whitefield,1190.0,2,67.0,2,224
2162,Chikkalasandra,1070.0,2,50.0,2,59
2163,Jalahalli East,1020.0,2,42.48,2,112
2164,Yelahanka,1610.0,3,115.0,3,226
2165,others,700.0,1,41.0,1,230
2166,others,1300.0,2,49.0,3,230
2167,Hebbal,1069.0,3,65.4,3,92
2168,Marathahalli,1900.0,3,123.0,3,161
2169,Old Airport Road,1655.0,2,97.65,2,176
2170,Uttarahalli,1155.0,2,40.42,2,216
2171,Sarjapur  Road,1300.0,2,70.0,3,194
2172,Electronic City,1100.0,2,45.0,2,74
2173,Doddathoguru,1030.0,2,42.0,2,70
2174,Vittasandra,2105.0,2,70.2,2,223
2175,Bhoganhalli,1700.0,3,126.0,3,43
2176,Jakkur,1760.0,3,139.0,3,110
2177,others,1400.0,2,67.0,2,230
2178,others,1200.0,2,53.0,2,230
2179,Bannerghatta Road,912.0,2,55.0,2,34
2180,Whitefield,1102.0,2,48.0,2,224
2181,others,1535.0,3,55.0,3,230
2182,Jigani,918.0,2,63.2,2,113
2183,Begur Road,1500.0,2,70.0,3,39
2184,others,3000.0,3,250.0,3,230
2185,Kasavanhalli,1476.0,3,89.0,3,130
2186,Mysore Road,1200.0,2,65.0,2,166
2187,Vijayanagar,606.0,1,34.78,1,220
2188,others,1100.0,2,61.0,2,230
2189,Garudachar Palya,1295.0,2,59.5,3,79
2190,Neeladri Nagar,527.0,1,26.0,1,173
2191,OMBR Layout,1300.0,2,80.0,2,175
2192,others,1260.0,1,41.0,1,230
2193,Koramangala,1140.0,2,75.2,2,144
2194,Whitefield,2321.0,4,128.0,3,224
2195,Sarjapur  Road,1390.0,2,62.0,2,194
2196,Sarjapur  Road,1725.0,3,90.0,3,194
2197,Hennur Road,1186.0,2,63.0,3,96
2198,Kanakpura Road,1230.0,2,85.0,2,127
2199,others,600.0,1,17.0,1,230
2200,Yeshwanthpur,1313.0,3,96.0,3,229
2201,Ambalipura,1250.0,2,66.25,2,12
2202,Binny Pete,660.0,1,54.0,1,45
2203,Old Madras Road,1100.0,2,70.0,2,177
2204,Electronics City Phase 1,1015.0,2,56.0,2,76
2205,Gottigere,812.0,1,26.0,1,82
2206,others,1360.0,2,65.0,3,230
2207,Nehru Nagar,2167.0,3,170.0,3,174
2208,Raja Rajeshwari Nagar,1200.0,2,35.0,2,184
2209,others,1165.0,2,75.0,2,230
2210,BTM 2nd Stage,1274.0,2,70.0,2,22
2211,Raja Rajeshwari Nagar,1151.0,2,39.02,2,184
2212,Thubarahalli,1626.0,2,120.0,3,211
2213,Banashankari Stage V,1035.0,2,35.77,2,29
2214,others,1272.0,4,75.0,3,230
2215,others,965.0,2,45.0,2,230
2216,Kothannur,1070.0,2,42.79,2,145
2217,Raja Rajeshwari Nagar,1570.0,2,65.0,3,184
2218,others,780.0,2,25.0,2,230
2219,others,1000.0,2,65.0,3,230
2220,5th Phase JP Nagar,1700.0,2,100.0,3,4
2221,Haralur Road,1850.0,3,110.0,3,90
2222,Kereguddadahalli,904.0,2,30.0,2,137
2223,others,1121.0,2,43.72,2,230
2224,7th Phase JP Nagar,1385.0,2,58.17,3,6
2225,Sahakara Nagar,1270.0,2,69.85,2,190
2226,Kanakpura Road,1450.0,3,56.0,3,127
2227,Mahadevpura,730.0,1,35.0,1,156
2228,Raja Rajeshwari Nagar,1580.0,3,53.56,3,184
2229,Thanisandra,1111.0,2,50.0,2,209
2230,Varthur,977.0,2,36.0,2,217
2231,others,674.0,1,19.9,2,230
2232,Sarjapur,2540.0,4,115.0,4,193
2233,Jakkur,1290.0,2,100.0,2,110
2234,Abbigere,795.0,2,32.54,2,10
2235,Kanakpura Road,700.0,1,35.0,2,127
2236,others,1306.0,2,58.0,3,230
2237,others,2401.0,3,185.0,3,230
2238,Bommenahalli,1670.0,3,135.0,4,50
2239,others,1200.0,3,90.0,3,230
2240,Dodda Nekkundi,1804.0,3,121.0,3,67
2241,Hoskote,1225.0,3,40.0,3,103
2242,Thanisandra,1652.5,2,58.68,2,209
2243,Bellandur,900.0,2,56.0,2,40
2244,Binny Pete,1350.0,2,91.0,2,45
2245,Kaggalipura,700.0,1,36.0,1,119
2246,others,1160.0,2,46.39,2,230
2247,Hennur Road,1680.0,3,99.27,3,96
2248,LB Shastri Nagar,1043.0,2,55.0,2,151
2249,Hebbal,1040.0,2,46.0,2,92
2250,Tindlu,1357.0,2,65.0,3,213
2251,others,1225.0,2,47.0,2,230
2252,Yelachenahalli,1130.0,2,40.0,2,225
2253,Basavangudi,2500.0,4,150.0,4,35
2254,Sultan Palaya,1700.0,3,120.0,3,206
2255,Doddathoguru,1549.0,3,65.0,3,70
2256,Yeshwanthpur,1400.0,2,100.0,2,229
2257,Dodda Nekkundi,1080.0,2,50.0,2,67
2258,Domlur,1800.0,3,150.0,3,71
2259,Abbigere,1005.0,2,39.59,2,10
2260,Whitefield,1320.0,2,95.0,2,224
2261,Anandapura,1475.0,2,50.0,4,15
2262,Kudlu Gate,2489.0,2,99.745,3,148
2263,others,1110.0,2,51.0,2,230
2264,others,1300.0,2,54.0,2,230
2265,Electronic City,1128.0,2,65.35,2,74
2266,Jakkur,1452.19,2,100.0,2,110
2267,Banashankari,2600.0,4,135.0,3,26
2268,Sanjay nagar,630.0,1,35.0,2,191
2269,Hosa Road,1243.0,2,48.5,2,101
2270,others,960.0,2,32.0,2,230
2271,others,1690.0,3,100.0,3,230
2272,Whitefield,735.0,2,35.0,2,224
2273,Banaswadi,1365.0,2,73.0,2,31
2274,Hebbal,1420.0,2,99.39,2,92
2275,Somasundara Palya,1570.0,3,68.0,3,202
2276,Bisuvanahalli,850.0,1,32.0,2,46
2277,7th Phase JP Nagar,1575.0,2,110.0,3,6
2278,Thigalarapalya,1418.0,2,104.0,2,210
2279,Uttarahalli,1050.0,2,42.0,2,216
2280,Ulsoor,1340.0,3,90.0,3,215
2281,Yelahanka New Town,1610.0,3,92.0,3,227
2282,Electronic City Phase II,1160.0,2,33.5,2,75
2283,Kudlu,1092.0,2,44.0,2,147
2284,Yelahanka,1455.0,3,61.5,3,226
2285,others,799.0,2,38.0,2,230
2286,Whitefield,1896.0,3,75.0,3,224
2287,Ardendale,1100.0,2,48.0,2,19
2288,Bellandur,1350.0,2,79.0,2,40
2289,others,1355.0,3,61.0,3,230
2290,others,1350.0,2,90.0,2,230
2291,Kasavanhalli,1493.0,3,82.0,3,130
2292,8th Phase JP Nagar,1098.0,2,43.91,2,7
2293,others,1460.0,3,88.0,3,230
2294,Varthur,1091.0,2,32.0,2,217
2295,Yelahanka,1180.0,2,42.0,2,226
2296,Kanakpura Road,1366.0,3,76.85,2,127
2297,others,1685.0,3,95.0,3,230
2298,Koramangala,1260.0,2,100.0,2,144
2299,Whitefield,3010.0,3,200.0,3,224
2300,Whitefield,1346.0,2,96.17,2,224
2301,Sarjapur  Road,2199.0,2,98.94,3,194
2302,7th Phase JP Nagar,1850.0,3,140.0,3,6
2303,Electronic City,755.0,1,34.0,2,74
2304,others,1194.0,2,46.0,2,230
2305,Whitefield,3850.0,5,316.0,3,224
2306,others,800.0,1,52.0,1,230
2307,Vijayanagar,1352.0,2,68.0,2,220
2308,Thanisandra,2002.0,3,112.0,3,209
2309,others,4000.0,5,280.0,4,230
2310,Kaval Byrasandra,1060.0,2,45.0,2,133
2311,Kanakpura Road,1419.59,2,59.0,3,127
2312,Raja Rajeshwari Nagar,1196.0,2,51.15,2,184
2313,Electronic City,1220.0,2,35.24,3,74
2314,Electronics City Phase 1,1595.0,3,75.0,3,76
2315,Banashankari,1260.0,2,75.0,2,26
2316,Hebbal,1100.0,2,47.0,2,92
2317,ISRO Layout,1180.0,2,52.0,2,106
2318,Electronic City,4000.0,5,150.0,4,74
2319,Akshaya Nagar,1662.0,3,85.0,3,11
2320,Ambedkar Nagar,1862.0,3,119.0,3,13
2321,Raja Rajeshwari Nagar,1419.0,2,48.0,2,184
2322,Whitefield,1410.0,3,43.71,3,224
2323,Raja Rajeshwari Nagar,1560.0,2,62.4,3,184
2324,Thanisandra,1634.0,3,78.0,3,209
2325,Whitefield,1150.0,2,44.0,3,224
2326,others,1100.0,2,53.0,2,230
2327,Yelahanka,1616.0,3,65.0,3,226
2328,Nagavarapalya,1392.0,2,99.0,2,172
2329,Jakkur,1798.0,3,120.0,3,110
2330,Babusapalaya,1675.0,3,75.0,3,24
2331,others,2000.0,4,103.0,5,230
2332,Hebbal,1700.0,3,124.0,3,92
2333,Hulimavu,1248.0,2,69.0,2,105
2334,others,1147.0,2,54.0,2,230
2335,Sultan Palaya,1100.0,2,40.0,2,206
2336,Vijayanagar,1527.0,3,115.0,3,220
2337,Kanakpura Road,525.0,1,25.0,1,127
2338,Kaggadasapura,1100.0,2,58.0,2,118
2339,Seegehalli,1118.0,2,37.5,2,198
2340,Kanakapura,1476.0,3,75.0,3,126
2341,others,2100.0,3,75.0,3,230
2342,others,1215.0,2,46.5,3,230
2343,Ambalipura,1332.0,2,79.0,2,12
2344,Hennur Road,1350.0,2,49.0,2,96
2345,NGR Layout,1105.0,2,49.73,2,167
2346,Kasavanhalli,1200.0,2,50.0,2,130
2347,Ramagondanahalli,1251.0,2,47.4,2,187
2348,Pai Layout,1400.0,2,67.0,3,179
2349,Hegde Nagar,1703.0,3,113.0,3,94
2350,NRI Layout,2500.0,5,130.0,5,168
2351,Varthur,1250.0,3,71.0,3,217
2352,Jigani,933.0,2,43.0,2,113
2353,others,461.82,1,31.7,1,230
2354,Brookefield,1262.0,2,75.0,2,51
2355,Yelahanka,915.0,2,48.0,2,226
2356,Panathur,1370.0,2,61.5,3,180
2357,Malleshpalya,1210.0,2,55.0,2,159
2358,others,1500.0,2,85.0,3,230
2359,others,1065.0,2,50.0,2,230
2360,Ramamurthy Nagar,1515.0,3,65.0,3,188
2361,Sarjapura - Attibele Road,1800.0,4,110.0,4,195
2362,Uttarahalli,1300.0,2,55.0,3,216
2363,Vijayanagar,989.0,2,60.0,2,220
2364,Jakkur,1300.0,2,85.0,2,110
2365,Marathahalli,1045.0,2,60.0,2,161
2366,others,1205.0,2,42.18,2,230
2367,others,1260.0,2,75.0,2,230
2368,Ulsoor,1500.0,2,125.0,3,215
2369,Bommanahalli,1250.0,2,42.5,3,47
2370,others,1199.0,2,50.0,2,230
2371,Lakshminarayana Pura,1149.0,2,75.0,2,153
2372,Sarjapur  Road,2180.0,3,170.0,3,194
2373,Hulimavu,1818.0,3,135.0,3,105
2374,others,1070.0,2,33.0,2,230
2375,Nagarbhavi,1350.0,2,54.6,3,169
2376,Chandapura,630.0,1,27.0,2,55
2377,Hoodi,1430.0,2,113.0,2,97
2378,Nagavara,2430.0,4,180.0,3,171
2379,Sarjapur  Road,1084.0,2,55.0,2,194
2380,Hennur Road,1186.0,2,56.0,3,96
2381,Kengeri,1255.0,2,50.0,2,135
2382,Haralur Road,3400.0,5,240.0,4,90
2383,Hosa Road,1541.0,3,69.84,3,101
2384,Iblur Village,3596.0,5,282.0,4,107
2385,Raja Rajeshwari Nagar,1295.0,2,70.0,2,184
2386,7th Phase JP Nagar,1370.0,2,54.79,3,6
2387,Electronic City,1100.0,2,40.0,2,74
2388,JP Nagar,1200.0,2,62.0,2,109
2389,Gunjur,2000.0,3,95.0,4,85
2390,Sarjapur  Road,1220.0,3,62.0,3,194
2391,others,1950.0,3,130.0,3,230
2392,Somasundara Palya,1178.0,2,73.0,2,202
2393,Dasanapura,1286.0,3,61.44,3,63
2394,Begur Road,1160.0,2,42.0,2,39
2395,Jigani,918.0,2,55.0,2,113
2396,Electronic City,1563.0,3,91.84,3,74
2397,others,1326.0,2,62.17,2,230
2398,Begur Road,1240.0,2,39.06,2,39
2399,Kaggadasapura,1325.0,2,50.0,2,118
2400,Sonnenahalli,1100.0,2,44.0,2,204
2401,Gollarapalya Hosahalli,1605.0,3,50.0,3,81
2402,Somasundara Palya,1260.0,2,60.0,2,202
2403,Hoodi,1553.0,3,83.09,3,97
2404,Whitefield,1280.0,2,52.0,2,224
2405,Hebbal,1550.0,2,75.0,3,92
2406,Murugeshpalya,1550.0,3,74.0,3,165
2407,Electronics City Phase 1,1515.0,2,80.91,3,76
2408,Hosa Road,1332.0,2,86.12,3,101
2409,Electronic City,1652.0,3,70.0,3,74
2410,Hegde Nagar,1570.0,3,105.0,3,94
2411,Sector 2 HSR Layout,794.0,1,60.0,1,196
2412,Seegehalli,1200.0,2,62.0,3,198
2413,Sarjapur  Road,1750.0,3,110.0,3,194
2414,Hebbal,1053.0,2,48.0,2,92
2415,Kadubeesanahalli,1665.0,3,70.0,3,116
2416,Bommasandra,1447.0,3,80.0,3,48
2417,Balagere,1012.0,2,75.0,2,25
2418,Malleshpalya,1900.0,3,60.0,3,159
2419,others,1308.0,2,92.66,2,230
2420,Hormavu,1351.0,2,53.0,1,100
2421,Gunjur,1140.0,2,49.11,2,85
2422,Jakkur,4305.905,4,260.5,4,110
2423,Uttarahalli,1250.0,2,55.0,3,216
2424,Kanakapura,1290.0,3,45.15,3,126
2425,Garudachar Palya,1320.0,2,60.6,3,79
2426,Akshaya Nagar,1662.0,3,85.5,3,11
2427,Battarahalli,1777.0,3,100.0,3,37
2428,Kadugodi,1900.0,3,108.0,3,117
2429,Anandapura,1576.0,3,59.1,3,15
2430,Sompura,1020.0,2,41.0,2,203
2431,others,2100.0,3,170.0,3,230
2432,Raja Rajeshwari Nagar,648.0,1,31.75,1,184
2433,Neeladri Nagar,1167.0,2,38.0,3,173
2434,Hoodi,1220.0,2,50.89,2,97
2435,Vittasandra,1259.0,2,67.4,2,223
2436,Gottigere,2000.0,4,82.0,4,82
2437,8th Phase JP Nagar,1800.0,3,80.0,3,7
2438,others,1991.0,3,160.0,3,230
2439,Bannerghatta,1665.0,3,110.0,3,33
2440,others,1234.0,2,61.0,2,230
2441,Mysore Road,1340.0,2,64.31,3,166
2442,Banashankari,1170.0,2,46.79,2,26
2443,Electronics City Phase 1,995.0,2,46.0,2,76
2444,Old Airport Road,1075.0,2,60.0,2,176
2445,Electronic City,1025.0,2,54.5,2,74
2446,Rachenahalli,2721.0,3,113.0,3,183
2447,Thanisandra,2000.0,3,99.0,3,209
2448,Whitefield,2500.0,4,155.0,4,224
2449,Mallasandra,1325.0,2,70.0,2,158
2450,Kadugodi,1314.0,2,68.2,2,117
2451,Kanakpura Road,2265.0,3,136.0,3,127
2452,Yelahanka,1026.0,2,41.0,2,226
2453,others,1200.0,3,66.0,3,230
2454,others,2220.0,4,65.0,3,230
2455,KR Puram,1727.5,2,51.22,2,115
2456,Sarjapur  Road,1888.0,4,95.0,3,194
2457,JP Nagar,1300.0,2,90.87,2,109
2458,Rajaji Nagar,1216.0,2,97.16,2,185
2459,Begur,1559.0,3,63.0,3,38
2460,Harlur,1290.0,2,87.0,2,91
2461,Whitefield,905.0,1,55.0,1,224
2462,others,1069.0,2,55.0,2,230
2463,Sarjapur  Road,1300.0,3,60.0,3,194
2464,Channasandra,1115.0,2,33.45,2,56
2465,Ambedkar Nagar,2150.0,4,125.0,3,13
2466,Marathahalli,1305.0,2,69.0,3,161
2467,Kanakpura Road,1252.0,2,56.32,2,127
2468,Whitefield,1200.0,2,46.13,2,224
2469,others,1375.0,2,105.0,2,230
2470,Subramanyapura,1313.0,2,66.5,2,205
2471,Attibele,3640.0,4,275.0,4,21
2472,others,1693.0,3,108.0,3,230
2473,others,1160.0,2,41.75,2,230
2474,Subramanyapura,1255.0,2,79.0,3,205
2475,others,900.0,2,45.0,2,230
2476,Yelahanka New Town,1700.0,3,90.0,3,227
2477,Uttarahalli,1700.0,3,88.0,3,216
2478,Harlur,1749.0,3,115.0,3,91
2479,Dasanapura,1500.0,3,65.0,2,63
2480,others,1175.0,2,48.0,2,230
2481,Akshaya Nagar,1280.0,2,60.0,2,11
2482,others,1200.0,2,50.0,2,230
2483,Ramagondanahalli,1610.0,2,115.0,3,187
2484,Electronic City,1070.0,2,46.0,2,74
2485,TC Palaya,1200.0,2,66.0,2,207
2486,9th Phase JP Nagar,1127.0,2,50.0,2,8
2487,others,600.0,2,23.0,2,230
2488,others,1364.0,2,70.0,2,230
2489,Whitefield,2268.0,3,146.0,4,224
2490,others,1150.0,2,77.5,3,230
2491,others,1146.0,2,39.5,2,230
2492,Magadi Road,1345.0,2,55.0,2,155
2493,others,1110.0,2,41.0,2,230
2494,Kengeri,750.0,2,36.0,2,135
2495,others,1156.0,2,49.5,2,230
2496,others,1247.0,2,59.8,2,230
2497,others,1058.0,2,60.0,2,230
2498,Kaggalipura,950.0,2,48.0,2,119
2499,Vijayanagar,1520.0,2,103.0,3,220
2500,others,900.0,1,30.0,1,230
2501,Hennur Road,2350.0,3,174.0,3,96
2502,Thanisandra,1050.0,2,46.0,2,209
2503,Laggere,2800.0,5,125.0,5,152
2504,others,1500.0,2,65.0,3,230
2505,others,1400.0,2,65.0,2,230
2506,8th Phase JP Nagar,2700.0,4,130.0,4,7
2507,Bommasandra,920.0,2,37.46,2,48
2508,Sarjapur  Road,1200.0,3,70.0,3,194
2509,Haralur Road,1464.0,2,56.0,2,90
2510,Electronics City Phase 1,1555.0,2,82.0,3,76
2511,Whitefield,1150.0,2,55.0,2,224
2512,Kadubeesanahalli,970.0,2,35.0,2,116
2513,Banashankari,2500.0,4,95.0,4,26
2514,others,1166.0,2,53.0,2,230
2515,Electronic City,1350.0,3,58.0,3,74
2516,others,900.0,2,46.0,2,230
2517,others,1190.0,3,55.0,3,230
2518,Kodichikkanahalli,1495.0,2,75.0,3,138
2519,Banashankari Stage III,1350.0,2,68.0,3,28
2520,Green Glen Layout,940.0,2,56.8,2,83
2521,Raja Rajeshwari Nagar,1100.0,2,55.0,2,184
2522,Kaikondrahalli,1300.0,2,61.0,2,120
2523,Hoodi,1105.0,2,46.37,2,97
2524,Sarjapur  Road,2600.0,3,200.0,3,194
2525,Yelahanka,1517.0,3,76.3,3,226
2526,Horamavu Banaswadi,3800.0,8,200.0,6,99
2527,Jalahalli,1615.0,3,89.75,3,111
2528,others,1500.0,3,65.0,3,230
2529,Mysore Road,1082.0,3,50.5,3,166
2530,Marathahalli,1365.0,2,73.0,2,161
2531,CV Raman Nagar,1392.0,2,98.0,2,53
2532,Kodigehalli,1086.0,2,33.66,2,140
2533,Hennur Road,1586.0,3,93.94,3,96
2534,Hennur,1100.0,2,60.0,2,95
2535,Electronic City Phase II,1065.0,2,30.75,2,75
2536,TC Palaya,1500.0,2,120.0,3,207
2537,7th Phase JP Nagar,1575.0,2,120.0,3,6
2538,Hennur Road,1975.0,3,123.0,3,96
2539,others,820.0,2,24.0,2,230
2540,Gubbalala,1745.0,3,110.0,3,84
2541,Nagarbhavi,1223.0,2,60.0,2,169
2542,Ananth Nagar,1200.0,2,65.0,3,16
2543,Basaveshwara Nagar,1200.0,2,90.0,2,36
2544,Binny Pete,665.0,1,46.08,1,45
2545,Bharathi Nagar,1351.0,2,70.0,2,42
2546,Sector 7 HSR Layout,3900.0,3,300.0,3,197
2547,Thanisandra,1588.0,3,75.55,3,209
2548,Amruthahalli,900.0,2,60.0,2,14
2549,Harlur,3385.0,4,260.0,4,91
2550,Panathur,1370.0,2,75.0,3,180
2551,Whitefield,1500.0,3,71.8,3,224
2552,Hoodi,1247.0,2,53.0,2,97
2553,Balagere,1020.07,2,68.38,2,25
2554,others,1033.0,2,32.0,3,230
2555,others,1460.0,2,73.0,3,230
2556,Garudachar Palya,1150.0,2,52.8,2,79
2557,Sarjapur  Road,5965.0,5,385.0,5,194
2558,Babusapalaya,1141.0,2,46.0,2,24
2559,Yelahanka,4315.5,6,125.5,4,226
2560,Doddaballapur,4200.0,4,325.0,4,68
2561,Hosa Road,1665.0,2,125.0,3,101
2562,Kanakapura,1295.0,2,64.0,2,126
2563,Haralur Road,1230.0,2,78.0,2,90
2564,others,1080.0,2,75.0,3,230
2565,Kaggalipura,1000.0,2,60.0,2,119
2566,Whitefield,937.0,1,32.79,1,224
2567,Rayasandra,1708.0,3,75.0,3,189
2568,Thanisandra,1697.0,3,115.0,3,209
2569,Whitefield,3537.0,5,210.0,4,224
2570,Hosa Road,615.0,1,28.29,1,101
2571,Banashankari,1350.0,2,83.0,3,26
2572,Kanakpura Road,2245.0,2,66.4,3,127
2573,Jalahalli,1083.0,2,32.49,2,111
2574,Gottigere,1460.0,2,65.0,3,82
2575,Babusapalaya,1084.0,2,58.0,2,24
2576,Bommasandra,1035.0,2,41.43,2,48
2577,others,2400.0,2,150.0,3,230
2578,Hosur Road,460.0,1,21.0,1,104
2579,Whitefield,1285.0,2,55.9,2,224
2580,Sarjapur,1200.0,3,78.0,3,193
2581,others,1070.0,2,35.0,2,230
2582,Hegde Nagar,1801.0,3,140.0,3,94
2583,Whitefield,1697.0,3,115.0,3,224
2584,AECS Layout,1199.0,2,65.0,2,9
2585,Marathahalli,3800.0,4,205.0,4,161
2586,others,1125.0,2,75.0,2,230
2587,Anandapura,1200.0,2,67.0,2,15
2588,Subramanyapura,1050.0,2,41.0,2,205
2589,Nagarbhavi,956.0,2,49.0,2,169
2590,Sarjapur,1000.0,2,30.0,2,193
2591,others,1596.0,3,95.0,3,230
2592,Kanakpura Road,1296.0,2,89.06,2,127
2593,others,1639.0,3,123.0,3,230
2594,Electronic City Phase II,1219.0,2,61.25,2,75
2595,Uttarahalli,1200.0,3,50.0,3,216
2596,Bannerghatta Road,1218.0,2,73.0,2,34
2597,others,920.0,2,37.0,2,230
2598,Yeshwanthpur,2559.0,3,141.0,3,229
2599,others,525.0,1,26.0,1,230
2600,Bannerghatta Road,1427.0,2,48.51,3,34
2601,Kothannur,1270.0,3,45.0,3,145
2602,Ramagondanahalli,920.0,2,65.0,2,187
2603,Ramamurthy Nagar,1355.0,2,40.0,3,188
2604,Lingadheeranahalli,1530.0,2,90.0,3,154
2605,others,1372.0,2,90.0,3,230
2606,Nehru Nagar,2363.0,5,120.0,4,174
2607,Marathahalli,3895.0,4,220.0,4,161
2608,Jakkur,1950.0,3,131.0,3,110
2609,others,885.0,2,40.0,2,230
2610,Yelahanka,600.0,2,27.0,2,226
2611,Kanakpura Road,1339.0,2,62.0,2,127
2612,Whitefield,1130.0,2,36.0,2,224
2613,Uttarahalli,1085.0,2,43.0,2,216
2614,Yeshwanthpur,1430.0,3,72.0,3,229
2615,Bhoganhalli,1451.5,4,121.0,4,43
2616,others,1490.0,2,59.6,3,230
2617,others,1650.0,4,99.0,4,230
2618,Bellandur,1286.0,2,57.0,2,40
2619,others,925.0,2,63.0,2,230
2620,Bellandur,3016.0,4,230.0,4,40
2621,Haralur Road,1000.0,2,44.0,2,90
2622,Whitefield,1215.0,2,39.0,2,224
2623,others,1200.0,3,95.0,4,230
2624,Lakshminarayana Pura,1336.0,2,100.0,2,153
2625,Yeshwanthpur,673.0,1,36.85,1,229
2626,Anandapura,1200.0,2,58.0,2,15
2627,others,1200.0,2,79.0,2,230
2628,Devanahalli,2400.0,5,100.0,5,65
2629,Sector 2 HSR Layout,1143.0,2,65.0,2,196
2630,Kanakpura Road,1470.0,2,61.74,2,127
2631,Marathahalli,1785.0,3,94.0,3,161
2632,Kothanur,1460.0,3,71.0,3,146
2633,Kasturi Nagar,1500.0,2,80.0,3,131
2634,Sanjay nagar,3300.0,3,250.0,5,191
2635,Chikkalasandra,1230.0,2,48.0,2,59
2636,Yelahanka New Town,650.0,1,20.0,1,227
2637,Benson Town,1480.0,2,120.0,2,41
2638,Thanisandra,1220.0,2,43.92,2,209
2639,others,1570.0,3,115.0,3,230
2640,Mallasandra,1665.0,3,86.91,3,158
2641,Ramamurthy Nagar,1100.0,2,68.0,2,188
2642,Kathriguppe,1350.0,2,87.01,3,132
2643,Kasavanhalli,1719.0,3,116.0,3,130
2644,Budigere,664.0,1,35.0,1,52
2645,Sonnenahalli,1011.0,2,50.53,2,204
2646,others,2400.0,6,130.0,6,230
2647,others,1680.0,3,85.0,3,230
2648,Yeshwanthpur,1069.0,2,49.475,2,229
2649,Uttarahalli,1350.0,2,53.0,3,216
2650,others,875.0,2,33.0,2,230
2651,Hennur,1231.0,2,48.0,2,95
2652,Somasundara Palya,1174.0,2,74.0,2,202
2653,Munnekollal,1560.0,3,75.0,3,164
2654,others,1464.0,2,56.0,2,230
2655,Kanakpura Road,2200.0,3,130.0,3,127
2656,Shivaji Nagar,850.0,2,55.0,2,200
2657,1st Phase JP Nagar,2024.0,3,157.0,3,1
2658,Devanahalli,1080.0,2,44.0,2,65
2659,Electronic City,1020.0,2,29.46,2,74
2660,Begur Road,1500.0,2,55.0,3,39
2661,Kodichikkanahalli,3250.0,4,180.0,4,138
2662,Channasandra,1030.0,2,34.5,2,56
2663,Hebbal,1440.0,2,115.0,2,92
2664,Hoodi,1500.0,2,84.0,2,97
2665,Thanisandra,1380.0,1,62.1,1,209
2666,others,1200.0,2,50.0,2,230
2667,others,705.0,1,36.5,1,230
2668,Harlur,2240.0,5,155.0,3,91
2669,Hegde Nagar,1584.01,3,103.0,3,94
2670,others,1340.0,3,77.0,3,230
2671,others,1800.0,3,70.0,3,230
2672,R.T. Nagar,1200.0,2,45.0,2,182
2673,Sarjapur  Road,685.0,1,40.0,1,194
2674,others,925.0,2,42.0,2,230
2675,others,1230.0,2,57.0,2,230
2676,Kodichikkanahalli,1125.0,2,52.0,2,138
2677,Hebbal,1100.0,2,54.0,2,92
2678,Jigani,2400.0,3,149.0,3,113
2679,Electronic City Phase II,1400.0,2,41.58,3,75
2680,Jakkur,1858.0,3,98.3,3,110
2681,Ambedkar Nagar,3530.0,4,290.0,4,13
2682,HSR Layout,1185.0,2,60.0,2,89
2683,Hennur,1255.0,2,58.0,2,95
2684,Kudlu Gate,1335.0,3,89.0,3,148
2685,Dodda Nekkundi,1999.0,3,132.0,3,67
2686,Kundalahalli,1397.0,3,110.0,3,150
2687,Chikka Tirupathi,1616.0,3,95.0,3,57
